rule_set,category,rule_id,description
OWASP_3.2,Anomaly Detection,980130,Inbound Anomaly Score Exceeded
OWASP_3.2,Anomaly Detection,949110,Inbound Anomaly Score Exceeded
OWASP_3.2,General,200002,Failed to Parse Request Body.
OWASP_3.2,General,200003,Multipart Request Body Strict Validation.
OWASP_3.2,General,200004,Possible Multipart Unmatched Boundary.
OWASP_3.2,REQUEST-911-METHOD-ENFORCEMENT,911100,Method is not allowed by policy
OWASP_3.2,REQUEST-913-SCANNER-DETECTION,913100,Found User-Agent associated with security scanner
OWASP_3.2,REQUEST-913-SCANNER-DETECTION,913101,Found User-Agent associated with scripting/generic HTTP client
OWASP_3.2,REQUEST-913-SCANNER-DETECTION,913102,Found User-Agent associated with web crawler/bot
OWASP_3.2,REQUEST-913-SCANNER-DETECTION,913110,Found request header associated with security scanner
OWASP_3.2,REQUEST-913-SCANNER-DETECTION,913120,Found request filename/argument associated with security scanner
OWASP_3.2,REQUEST-920-PROTOCOL-ENFORCEMENT,920100,Invalid HTTP Request Line
OWASP_3.2,REQUEST-920-PROTOCOL-ENFORCEMENT,920120,Attempted multipart/form-data bypass
OWASP_3.2,REQUEST-920-PROTOCOL-ENFORCEMENT,920121,Attempted multipart/form-data bypass
OWASP_3.2,REQUEST-920-PROTOCOL-ENFORCEMENT,920160,Content-Length HTTP header is not numeric.
OWASP_3.2,REQUEST-920-PROTOCOL-ENFORCEMENT,920170,GET or HEAD Request with Body Content.
OWASP_3.2,REQUEST-920-PROTOCOL-ENFORCEMENT,920171,GET or HEAD Request with Transfer-Encoding.
OWASP_3.2,REQUEST-920-PROTOCOL-ENFORCEMENT,920180,POST request missing Content-Length Header.
OWASP_3.2,REQUEST-920-PROTOCOL-ENFORCEMENT,920190,Range: Invalid Last Byte Value.
OWASP_3.2,REQUEST-920-PROTOCOL-ENFORCEMENT,920200,Range: Too many fields (6 or more)
OWASP_3.2,REQUEST-920-PROTOCOL-ENFORCEMENT,920201,Range: Too many fields for pdf request (35 or more)
OWASP_3.2,REQUEST-920-PROTOCOL-ENFORCEMENT,920202,Range: Too many fields for pdf request (6 or more)
OWASP_3.2,REQUEST-920-PROTOCOL-ENFORCEMENT,920210,Multiple/Conflicting Connection Header Data Found.
OWASP_3.2,REQUEST-920-PROTOCOL-ENFORCEMENT,920220,URL Encoding Abuse Attack Attempt
OWASP_3.2,REQUEST-920-PROTOCOL-ENFORCEMENT,920230,Multiple URL Encoding Detected
OWASP_3.2,REQUEST-920-PROTOCOL-ENFORCEMENT,920240,URL Encoding Abuse Attack Attempt
OWASP_3.2,REQUEST-920-PROTOCOL-ENFORCEMENT,920250,UTF8 Encoding Abuse Attack Attempt
OWASP_3.2,REQUEST-920-PROTOCOL-ENFORCEMENT,920260,Unicode Full/Half Width Abuse Attack Attempt
OWASP_3.2,REQUEST-920-PROTOCOL-ENFORCEMENT,920270,Invalid character in request (null character)
OWASP_3.2,REQUEST-920-PROTOCOL-ENFORCEMENT,920271,Invalid character in request (non printable characters)
OWASP_3.2,REQUEST-920-PROTOCOL-ENFORCEMENT,920272,Invalid character in request (outside of printable chars below ascii 127)
OWASP_3.2,REQUEST-920-PROTOCOL-ENFORCEMENT,920273,Invalid character in request (outside of very strict set)
OWASP_3.2,REQUEST-920-PROTOCOL-ENFORCEMENT,920274,Invalid character in request headers (outside of very strict set)
OWASP_3.2,REQUEST-920-PROTOCOL-ENFORCEMENT,920280,Request Missing a Host Header
OWASP_3.2,REQUEST-920-PROTOCOL-ENFORCEMENT,920290,Empty Host Header
OWASP_3.2,REQUEST-920-PROTOCOL-ENFORCEMENT,920300,Request Missing an Accept Header
OWASP_3.2,REQUEST-920-PROTOCOL-ENFORCEMENT,920310,Request Has an Empty Accept Header
OWASP_3.2,REQUEST-920-PROTOCOL-ENFORCEMENT,920311,Request Has an Empty Accept Header
OWASP_3.2,REQUEST-920-PROTOCOL-ENFORCEMENT,920320,Missing User Agent Header
OWASP_3.2,REQUEST-920-PROTOCOL-ENFORCEMENT,920330,Empty User Agent Header
OWASP_3.2,REQUEST-920-PROTOCOL-ENFORCEMENT,920340,"Request Containing Content, but Missing Content-Type header"
OWASP_3.2,REQUEST-920-PROTOCOL-ENFORCEMENT,920341,Request containing content requires Content-Type header
OWASP_3.2,REQUEST-920-PROTOCOL-ENFORCEMENT,920350,Host header is a numeric IP address
OWASP_3.2,REQUEST-920-PROTOCOL-ENFORCEMENT,920420,Request content type is not allowed by policy
OWASP_3.2,REQUEST-920-PROTOCOL-ENFORCEMENT,920430,HTTP protocol version is not allowed by policy
OWASP_3.2,REQUEST-920-PROTOCOL-ENFORCEMENT,920440,URL file extension is restricted by policy
OWASP_3.2,REQUEST-920-PROTOCOL-ENFORCEMENT,920450,HTTP header is restricted by policy (%{MATCHED_VAR})
OWASP_3.2,REQUEST-920-PROTOCOL-ENFORCEMENT,920460,Abnormal Escape Characters
OWASP_3.2,REQUEST-920-PROTOCOL-ENFORCEMENT,920470,Illegal Content-Type header
OWASP_3.2,REQUEST-920-PROTOCOL-ENFORCEMENT,920480,Restrict charset parameter within the content-type header
OWASP_3.2,REQUEST-921-PROTOCOL-ATTACK,921110,HTTP Request Smuggling Attack
OWASP_3.2,REQUEST-921-PROTOCOL-ATTACK,921120,HTTP Response Splitting Attack
OWASP_3.2,REQUEST-921-PROTOCOL-ATTACK,921130,HTTP Response Splitting Attack
OWASP_3.2,REQUEST-921-PROTOCOL-ATTACK,921140,HTTP Header Injection Attack via headers
OWASP_3.2,REQUEST-921-PROTOCOL-ATTACK,921150,HTTP Header Injection Attack via payload (CR/LF detected)
OWASP_3.2,REQUEST-921-PROTOCOL-ATTACK,921151,HTTP Header Injection Attack via payload (CR/LF detected)
OWASP_3.2,REQUEST-921-PROTOCOL-ATTACK,921160,HTTP Header Injection Attack via payload (CR/LF and header-name detected)
OWASP_3.2,REQUEST-921-PROTOCOL-ATTACK,921170,HTTP Parameter Pollution
OWASP_3.2,REQUEST-921-PROTOCOL-ATTACK,921180,HTTP Parameter Pollution (%{TX.1})
OWASP_3.2,REQUEST-930-APPLICATION-ATTACK-LFI,930100,Path Traversal Attack (/../)
OWASP_3.2,REQUEST-930-APPLICATION-ATTACK-LFI,930110,Path Traversal Attack (/../)
OWASP_3.2,REQUEST-930-APPLICATION-ATTACK-LFI,930120,OS File Access Attempt
OWASP_3.2,REQUEST-930-APPLICATION-ATTACK-LFI,930130,Restricted File Access Attempt
OWASP_3.2,REQUEST-931-APPLICATION-ATTACK-RFI,931100,Possible Remote File Inclusion (RFI) Attack: URL Parameter using IP Address
OWASP_3.2,REQUEST-931-APPLICATION-ATTACK-RFI,931110,Possible Remote File Inclusion (RFI) Attack: Common RFI Vulnerable Parameter Name used w/URL Payload
OWASP_3.2,REQUEST-931-APPLICATION-ATTACK-RFI,931120,Possible Remote File Inclusion (RFI) Attack: URL Payload Used w/Trailing Question Mark Character (?)
OWASP_3.2,REQUEST-931-APPLICATION-ATTACK-RFI,931130,Possible Remote File Inclusion (RFI) Attack: Off-Domain Reference/Link
OWASP_3.2,REQUEST-932-APPLICATION-ATTACK-RCE,932100,Remote Command Execution: Unix Command Injection
OWASP_3.2,REQUEST-932-APPLICATION-ATTACK-RCE,932105,Remote Command Execution: Unix Command Injection
OWASP_3.2,REQUEST-932-APPLICATION-ATTACK-RCE,932106,Remote Command Execution: Unix Command Injection
OWASP_3.2,REQUEST-932-APPLICATION-ATTACK-RCE,932110,Remote Command Execution: Windows Command Injection
OWASP_3.2,REQUEST-932-APPLICATION-ATTACK-RCE,932115,Remote Command Execution: Windows Command Injection
OWASP_3.2,REQUEST-932-APPLICATION-ATTACK-RCE,932120,Remote Command Execution: Windows PowerShell Command Found
OWASP_3.2,REQUEST-932-APPLICATION-ATTACK-RCE,932130,Remote Command Execution: Unix Shell Expression Found
OWASP_3.2,REQUEST-932-APPLICATION-ATTACK-RCE,932140,Remote Command Execution: Windows FOR/IF Command Found
OWASP_3.2,REQUEST-932-APPLICATION-ATTACK-RCE,932150,Remote Command Execution: Direct Unix Command Execution
OWASP_3.2,REQUEST-932-APPLICATION-ATTACK-RCE,932160,Remote Command Execution: Unix Shell Code Found
OWASP_3.2,REQUEST-932-APPLICATION-ATTACK-RCE,932170,Remote Command Execution: Shellshock (CVE-2014-6271)
OWASP_3.2,REQUEST-932-APPLICATION-ATTACK-RCE,932171,Remote Command Execution: Shellshock (CVE-2014-6271)
OWASP_3.2,REQUEST-932-APPLICATION-ATTACK-RCE,932180,Restricted File Upload Attempt
OWASP_3.2,REQUEST-932-APPLICATION-ATTACK-RCE,932190,Remote Command Execution: Wildcard bypass technique attempt
OWASP_3.2,REQUEST-933-APPLICATION-ATTACK-PHP,933100,PHP Injection Attack: Opening/Closing Tag Found
OWASP_3.2,REQUEST-933-APPLICATION-ATTACK-PHP,933110,PHP Injection Attack: PHP Script File Upload Found
OWASP_3.2,REQUEST-933-APPLICATION-ATTACK-PHP,933111,PHP Injection Attack: PHP Script File Upload Found
OWASP_3.2,REQUEST-933-APPLICATION-ATTACK-PHP,933120,PHP Injection Attack: Configuration Directive Found
OWASP_3.2,REQUEST-933-APPLICATION-ATTACK-PHP,933130,PHP Injection Attack: Variables Found
OWASP_3.2,REQUEST-933-APPLICATION-ATTACK-PHP,933131,PHP Injection Attack: Variables Found
OWASP_3.2,REQUEST-933-APPLICATION-ATTACK-PHP,933140,PHP Injection Attack: I/O Stream Found
OWASP_3.2,REQUEST-933-APPLICATION-ATTACK-PHP,933150,PHP Injection Attack: High-Risk PHP Function Name Found
OWASP_3.2,REQUEST-933-APPLICATION-ATTACK-PHP,933151,PHP Injection Attack: Medium-Risk PHP Function Name Found
OWASP_3.2,REQUEST-933-APPLICATION-ATTACK-PHP,933160,PHP Injection Attack: High-Risk PHP Function Call Found
OWASP_3.2,REQUEST-933-APPLICATION-ATTACK-PHP,933161,PHP Injection Attack: Low-Value PHP Function Call Found
OWASP_3.2,REQUEST-933-APPLICATION-ATTACK-PHP,933170,PHP Injection Attack: Serialized Object Injection
OWASP_3.2,REQUEST-933-APPLICATION-ATTACK-PHP,933180,PHP Injection Attack: Variable Function Call Found
OWASP_3.2,REQUEST-933-APPLICATION-ATTACK-PHP,933190,PHP Injection Attack: PHP Closing Tag Found
OWASP_3.2,REQUEST-933-APPLICATION-ATTACK-PHP,933200,PHP Injection Attack: Wrapper scheme detected
OWASP_3.2,REQUEST-933-APPLICATION-ATTACK-PHP,933210,PHP Injection Attack: Variable Function Call Found
OWASP_3.2,REQUEST-941-APPLICATION-ATTACK-XSS,941100,XSS Attack Detected via libinjection
OWASP_3.2,REQUEST-941-APPLICATION-ATTACK-XSS,941101,XSS Attack Detected via libinjection.
OWASP_3.2,REQUEST-941-APPLICATION-ATTACK-XSS,941110,XSS Filter - Category 1: Script Tag Vector
OWASP_3.2,REQUEST-941-APPLICATION-ATTACK-XSS,941120,XSS Filter - Category 2: Event Handler Vector
OWASP_3.2,REQUEST-941-APPLICATION-ATTACK-XSS,941130,XSS Filter - Category 3: Attribute Vector
OWASP_3.2,REQUEST-941-APPLICATION-ATTACK-XSS,941140,XSS Filter - Category 4: Javascript URI Vector
OWASP_3.2,REQUEST-941-APPLICATION-ATTACK-XSS,941150,XSS Filter - Category 5: Disallowed HTML Attributes
OWASP_3.2,REQUEST-941-APPLICATION-ATTACK-XSS,941160,NoScript XSS InjectionChecker: HTML Injection
OWASP_3.2,REQUEST-941-APPLICATION-ATTACK-XSS,941170,NoScript XSS InjectionChecker: Attribute Injection
OWASP_3.2,REQUEST-941-APPLICATION-ATTACK-XSS,941180,Node-Validator Blacklist Keywords
OWASP_3.2,REQUEST-941-APPLICATION-ATTACK-XSS,941190,XSS Using style sheets
OWASP_3.2,REQUEST-941-APPLICATION-ATTACK-XSS,941200,XSS using VML frames
OWASP_3.2,REQUEST-941-APPLICATION-ATTACK-XSS,941210,XSS using obfuscated JavaScript
OWASP_3.2,REQUEST-941-APPLICATION-ATTACK-XSS,941220,XSS using obfuscated VB Script
OWASP_3.2,REQUEST-941-APPLICATION-ATTACK-XSS,941230,XSS using 'embed' tag
OWASP_3.2,REQUEST-941-APPLICATION-ATTACK-XSS,941240,XSS using 'import' or 'implementation' attribute
OWASP_3.2,REQUEST-941-APPLICATION-ATTACK-XSS,941250,IE XSS Filters - Attack Detected.
OWASP_3.2,REQUEST-941-APPLICATION-ATTACK-XSS,941260,XSS using 'meta' tag
OWASP_3.2,REQUEST-941-APPLICATION-ATTACK-XSS,941270,XSS using 'link' href
OWASP_3.2,REQUEST-941-APPLICATION-ATTACK-XSS,941280,XSS using 'base' tag
OWASP_3.2,REQUEST-941-APPLICATION-ATTACK-XSS,941290,XSS using 'applet' tag
OWASP_3.2,REQUEST-941-APPLICATION-ATTACK-XSS,941300,XSS using 'object' tag
OWASP_3.2,REQUEST-941-APPLICATION-ATTACK-XSS,941310,US-ASCII Malformed Encoding XSS Filter - Attack Detected.
OWASP_3.2,REQUEST-941-APPLICATION-ATTACK-XSS,941320,Possible XSS Attack Detected - HTML Tag Handler
OWASP_3.2,REQUEST-941-APPLICATION-ATTACK-XSS,941330,IE XSS Filters - Attack Detected.
OWASP_3.2,REQUEST-941-APPLICATION-ATTACK-XSS,941340,IE XSS Filters - Attack Detected.
OWASP_3.2,REQUEST-941-APPLICATION-ATTACK-XSS,941350,UTF-7 Encoding IE XSS - Attack Detected.
OWASP_3.2,REQUEST-941-APPLICATION-ATTACK-XSS,941360,JavaScript obfuscation detected.
OWASP_3.2,REQUEST-942-APPLICATION-ATTACK-SQLI,942100,SQL Injection Attack Detected via libinjection
OWASP_3.2,REQUEST-942-APPLICATION-ATTACK-SQLI,942110,SQL Injection Attack: Common Injection Testing Detected
OWASP_3.2,REQUEST-942-APPLICATION-ATTACK-SQLI,942120,SQL Injection Attack: SQL Operator Detected
OWASP_3.2,REQUEST-942-APPLICATION-ATTACK-SQLI,942130,SQL Injection Attack: SQL Tautology Detected.
OWASP_3.2,REQUEST-942-APPLICATION-ATTACK-SQLI,942140,SQL Injection Attack: Common DB Names Detected
OWASP_3.2,REQUEST-942-APPLICATION-ATTACK-SQLI,942150,SQL Injection Attack
OWASP_3.2,REQUEST-942-APPLICATION-ATTACK-SQLI,942160,Detects blind sqli tests using sleep() or benchmark().
OWASP_3.2,REQUEST-942-APPLICATION-ATTACK-SQLI,942170,Detects SQL benchmark and sleep injection attempts including conditional queries
OWASP_3.2,REQUEST-942-APPLICATION-ATTACK-SQLI,942180,Detects basic SQL authentication bypass attempts 1/3
OWASP_3.2,REQUEST-942-APPLICATION-ATTACK-SQLI,942190,Detects MSSQL code execution and information gathering attempts
OWASP_3.2,REQUEST-942-APPLICATION-ATTACK-SQLI,942200,Detects MySQL comment-/space-obfuscated injections and backtick termination
OWASP_3.2,REQUEST-942-APPLICATION-ATTACK-SQLI,942210,Detects chained SQL injection attempts 1/2
OWASP_3.2,REQUEST-942-APPLICATION-ATTACK-SQLI,942220,"Looking for intiger overflow attacks, these are taken from skipfish, except 3.0.00738585072007e-308 is the \""magic number\"" crash"
OWASP_3.2,REQUEST-942-APPLICATION-ATTACK-SQLI,942230,Detects conditional SQL injection attempts
OWASP_3.2,REQUEST-942-APPLICATION-ATTACK-SQLI,942240,Detects MySQL charset switch and MSSQL DoS attempts
OWASP_3.2,REQUEST-942-APPLICATION-ATTACK-SQLI,942250,"Detects MATCH AGAINST, MERGE and EXECUTE IMMEDIATE injections"
OWASP_3.2,REQUEST-942-APPLICATION-ATTACK-SQLI,942251,Detects HAVING injections
OWASP_3.2,REQUEST-942-APPLICATION-ATTACK-SQLI,942260,Detects basic SQL authentication bypass attempts 2/3
OWASP_3.2,REQUEST-942-APPLICATION-ATTACK-SQLI,942270,"Looking for basic sql injection. Common attack string for mysql, oracle and others."
OWASP_3.2,REQUEST-942-APPLICATION-ATTACK-SQLI,942280,"Detects Postgres pg_sleep injection, waitfor delay attacks and database shutdown attempts"
OWASP_3.2,REQUEST-942-APPLICATION-ATTACK-SQLI,942290,Finds basic MongoDB SQL injection attempts
OWASP_3.2,REQUEST-942-APPLICATION-ATTACK-SQLI,942300,"Detects MySQL comments, conditions and ch(a)r injections"
OWASP_3.2,REQUEST-942-APPLICATION-ATTACK-SQLI,942310,Detects chained SQL injection attempts 2/2
OWASP_3.2,REQUEST-942-APPLICATION-ATTACK-SQLI,942320,Detects MySQL and PostgreSQL stored procedure/function injections
OWASP_3.2,REQUEST-942-APPLICATION-ATTACK-SQLI,942330,Detects classic SQL injection probings 1/2
OWASP_3.2,REQUEST-942-APPLICATION-ATTACK-SQLI,942340,Detects basic SQL authentication bypass attempts 3/3
OWASP_3.2,REQUEST-942-APPLICATION-ATTACK-SQLI,942350,Detects MySQL UDF injection and other data/structure manipulation attempts
OWASP_3.2,REQUEST-942-APPLICATION-ATTACK-SQLI,942360,Detects concatenated basic SQL injection and SQLLFI attempts
OWASP_3.2,REQUEST-942-APPLICATION-ATTACK-SQLI,942361,Detects basic SQL injection based on keyword alter or union
OWASP_3.2,REQUEST-942-APPLICATION-ATTACK-SQLI,942370,Detects classic SQL injection probings 2/2
OWASP_3.2,REQUEST-942-APPLICATION-ATTACK-SQLI,942380,SQL Injection Attack
OWASP_3.2,REQUEST-942-APPLICATION-ATTACK-SQLI,942390,SQL Injection Attack
OWASP_3.2,REQUEST-942-APPLICATION-ATTACK-SQLI,942400,SQL Injection Attack
OWASP_3.2,REQUEST-942-APPLICATION-ATTACK-SQLI,942410,SQL Injection Attack
OWASP_3.2,REQUEST-942-APPLICATION-ATTACK-SQLI,942420,Restricted SQL Character Anomaly Detection (cookies): # of special characters exceeded (8)
OWASP_3.2,REQUEST-942-APPLICATION-ATTACK-SQLI,942421,Restricted SQL Character Anomaly Detection (cookies): # of special characters exceeded (3)
OWASP_3.2,REQUEST-942-APPLICATION-ATTACK-SQLI,942430,Restricted SQL Character Anomaly Detection (args): # of special characters exceeded (12)
OWASP_3.2,REQUEST-942-APPLICATION-ATTACK-SQLI,942431,Restricted SQL Character Anomaly Detection (args): # of special characters exceeded (6)
OWASP_3.2,REQUEST-942-APPLICATION-ATTACK-SQLI,942432,Restricted SQL Character Anomaly Detection (args): # of special characters exceeded (2)
OWASP_3.2,REQUEST-942-APPLICATION-ATTACK-SQLI,942440,SQL Comment Sequence Detected.
OWASP_3.2,REQUEST-942-APPLICATION-ATTACK-SQLI,942450,SQL Hex Encoding Identified
OWASP_3.2,REQUEST-942-APPLICATION-ATTACK-SQLI,942460,Meta-Character Anomaly Detection Alert - Repetitive Non-Word Characters
OWASP_3.2,REQUEST-942-APPLICATION-ATTACK-SQLI,942470,SQL Injection Attack
OWASP_3.2,REQUEST-942-APPLICATION-ATTACK-SQLI,942480,SQL Injection Attack
OWASP_3.2,REQUEST-942-APPLICATION-ATTACK-SQLI,942490,Detects classic SQL injection probings 3/3
OWASP_3.2,REQUEST-942-APPLICATION-ATTACK-SQLI,942500,MySQL in-line comment detected.
OWASP_3.2,REQUEST-943-APPLICATION-ATTACK-SESSION-FIXATION,943100,Possible Session Fixation Attack: Setting Cookie Values in HTML
OWASP_3.2,REQUEST-943-APPLICATION-ATTACK-SESSION-FIXATION,943110,Possible Session Fixation Attack: SessionID Parameter Name with Off-Domain Referer
OWASP_3.2,REQUEST-943-APPLICATION-ATTACK-SESSION-FIXATION,943120,Possible Session Fixation Attack: SessionID Parameter Name with No Referer
OWASP_3.2,REQUEST-944-APPLICATION-ATTACK-JAVA,944100,"Remote Command Execution: Apache Struts, Oracle WebLogic"
OWASP_3.2,REQUEST-944-APPLICATION-ATTACK-JAVA,944110,Detects potential payload execution
OWASP_3.2,REQUEST-944-APPLICATION-ATTACK-JAVA,944120,Possible payload execution and remote command execution
OWASP_3.2,REQUEST-944-APPLICATION-ATTACK-JAVA,944130,Suspicious Java classes
OWASP_3.2,REQUEST-944-APPLICATION-ATTACK-JAVA,944200,Exploitation of Java deserialization Apache Commons
OWASP_3.2,REQUEST-944-APPLICATION-ATTACK-JAVA,944210,Possible use of Java serialization
OWASP_3.2,REQUEST-944-APPLICATION-ATTACK-JAVA,944240,Remote Command Execution: Java serialization
OWASP_3.2,REQUEST-944-APPLICATION-ATTACK-JAVA,944250,Remote Command Execution: Suspicious Java method detected
OWASP_3.2,Known-CVEs,800100,"Rule to help detect and mitigate log4j vulnerability - CVE-2021-44228, CVE-2021-45046"
OWASP_3.2,Known-CVEs,800110,Spring4Shell Interaction Attempt
OWASP_3.2,Known-CVEs,800111,Attempted Spring Cloud routing-expression injection - CVE-2022-22963
OWASP_3.2,Known-CVEs,800112,Attempted Spring Framework unsafe class object exploitation - CVE-2022-22965
OWASP_3.2,Known-CVEs,800113,Attempted Spring Cloud Gateway Actuator injection - CVE-2022-22947
OWASP_3.1,Anomaly Detection,980130,Inbound Anomaly Score Exceeded
OWASP_3.1,Anomaly Detection,949110,Inbound Anomaly Score Exceeded
OWASP_3.1,General,200004,Possible Multipart Unmatched Boundary.
OWASP_3.1,REQUEST-911-METHOD-ENFORCEMENT,911100,Method is not allowed by policy
OWASP_3.1,REQUEST-913-SCANNER-DETECTION,913100,Found User-Agent associated with security scanner
OWASP_3.1,REQUEST-913-SCANNER-DETECTION,913101,Found User-Agent associated with scripting/generic HTTP client
OWASP_3.1,REQUEST-913-SCANNER-DETECTION,913102,Found User-Agent associated with web crawler/bot
OWASP_3.1,REQUEST-913-SCANNER-DETECTION,913110,Found request header associated with security scanner
OWASP_3.1,REQUEST-913-SCANNER-DETECTION,913120,Found request filename/argument associated with security scanner
OWASP_3.1,REQUEST-920-PROTOCOL-ENFORCEMENT,920100,Invalid HTTP Request Line
OWASP_3.1,REQUEST-920-PROTOCOL-ENFORCEMENT,920120,Attempted multipart/form-data bypass
OWASP_3.1,REQUEST-920-PROTOCOL-ENFORCEMENT,920121,Attempted multipart/form-data bypass
OWASP_3.1,REQUEST-920-PROTOCOL-ENFORCEMENT,920130,Failed to parse request body.
OWASP_3.1,REQUEST-920-PROTOCOL-ENFORCEMENT,920140,"Multipart request body failed strict validation:     PE %{REQBODY_PROCESSOR_ERROR},     BQ %{MULTIPART_BOUNDARY_QUOTED},     BW %{MULTIPART_BOUNDARY_WHITESPACE},     DB %{MULTIPART_DATA_BEFORE},     DA %{MULTIPART_DATA_AFTER},     HF %{MULTIPART_HEADER_FOLDING},     LF %{MULTIPART_LF_LINE},     SM %{MULTIPART_SEMICOLON_MISSING},     IQ %{MULTIPART_INVALID_QUOTING},     IH %{MULTIPART_INVALID_HEADER_FOLDING},     FLE %{MULTIPART_FILE_LIMIT_EXCEEDED}"
OWASP_3.1,REQUEST-920-PROTOCOL-ENFORCEMENT,920160,Content-Length HTTP header is not numeric.
OWASP_3.1,REQUEST-920-PROTOCOL-ENFORCEMENT,920170,GET or HEAD Request with Body Content.
OWASP_3.1,REQUEST-920-PROTOCOL-ENFORCEMENT,920171,GET or HEAD Request with Transfer-Encoding.
OWASP_3.1,REQUEST-920-PROTOCOL-ENFORCEMENT,920180,POST request missing Content-Length Header.
OWASP_3.1,REQUEST-920-PROTOCOL-ENFORCEMENT,920190,Range: Invalid Last Byte Value.
OWASP_3.1,REQUEST-920-PROTOCOL-ENFORCEMENT,920200,Range: Too many fields (6 or more)
OWASP_3.1,REQUEST-920-PROTOCOL-ENFORCEMENT,920201,Range: Too many fields for pdf request (35 or more)
OWASP_3.1,REQUEST-920-PROTOCOL-ENFORCEMENT,920202,Range: Too many fields for pdf request (6 or more)
OWASP_3.1,REQUEST-920-PROTOCOL-ENFORCEMENT,920210,Multiple/Conflicting Connection Header Data Found.
OWASP_3.1,REQUEST-920-PROTOCOL-ENFORCEMENT,920220,URL Encoding Abuse Attack Attempt
OWASP_3.1,REQUEST-920-PROTOCOL-ENFORCEMENT,920230,Multiple URL Encoding Detected
OWASP_3.1,REQUEST-920-PROTOCOL-ENFORCEMENT,920240,URL Encoding Abuse Attack Attempt
OWASP_3.1,REQUEST-920-PROTOCOL-ENFORCEMENT,920250,UTF8 Encoding Abuse Attack Attempt
OWASP_3.1,REQUEST-920-PROTOCOL-ENFORCEMENT,920260,Unicode Full/Half Width Abuse Attack Attempt
OWASP_3.1,REQUEST-920-PROTOCOL-ENFORCEMENT,920270,Invalid character in request (null character)
OWASP_3.1,REQUEST-920-PROTOCOL-ENFORCEMENT,920271,Invalid character in request (non printable characters)
OWASP_3.1,REQUEST-920-PROTOCOL-ENFORCEMENT,920272,Invalid character in request (outside of printable chars below ascii 127)
OWASP_3.1,REQUEST-920-PROTOCOL-ENFORCEMENT,920273,Invalid character in request (outside of very strict set)
OWASP_3.1,REQUEST-920-PROTOCOL-ENFORCEMENT,920274,Invalid character in request headers (outside of very strict set)
OWASP_3.1,REQUEST-920-PROTOCOL-ENFORCEMENT,920280,Request Missing a Host Header
OWASP_3.1,REQUEST-920-PROTOCOL-ENFORCEMENT,920290,Empty Host Header
OWASP_3.1,REQUEST-920-PROTOCOL-ENFORCEMENT,920300,Request Missing an Accept Header
OWASP_3.1,REQUEST-920-PROTOCOL-ENFORCEMENT,920310,Request Has an Empty Accept Header
OWASP_3.1,REQUEST-920-PROTOCOL-ENFORCEMENT,920311,Request Has an Empty Accept Header
OWASP_3.1,REQUEST-920-PROTOCOL-ENFORCEMENT,920320,Missing User Agent Header
OWASP_3.1,REQUEST-920-PROTOCOL-ENFORCEMENT,920330,Empty User Agent Header
OWASP_3.1,REQUEST-920-PROTOCOL-ENFORCEMENT,920340,"Request Containing Content, but Missing Content-Type header"
OWASP_3.1,REQUEST-920-PROTOCOL-ENFORCEMENT,920341,Request containing content requires Content-Type header
OWASP_3.1,REQUEST-920-PROTOCOL-ENFORCEMENT,920350,Host header is a numeric IP address
OWASP_3.1,REQUEST-920-PROTOCOL-ENFORCEMENT,920420,Request content type is not allowed by policy
OWASP_3.1,REQUEST-920-PROTOCOL-ENFORCEMENT,920430,HTTP protocol version is not allowed by policy
OWASP_3.1,REQUEST-920-PROTOCOL-ENFORCEMENT,920440,URL file extension is restricted by policy
